x_bin,y_bin,z_bin,physical_dose_Gy,z_depth_cm,LETd_keV_um,RBE_wedenberg_ref,RBE_mcnamara_ref,alpha_beta_x_Gy,dose_Gy,dose_RBE_wedenberg_ref,dose_RBE_mcnamara_ref
0,0,13,1.601219628355466e-05,1.35,1.02191960811615,1.062251791269967,1.101482669670213,3.0,2.0,2.124503582539934,2.202965339340426
0,0,14,1.600601717655081e-05,1.4500000000000002,0.865201473236084,1.0528446188432963,1.0945565355340332,3.0,2.0,2.1056892376865926,2.1891130710680664
0,0,15,1.629291364224628e-05,1.55,0.9841175079345704,1.0599871544355783,1.0998143302404677,3.0,2.0,2.1199743088711567,2.1996286604809354
0,0,16,1.620755756448489e-05,1.65,0.9678406715393066,1.0590111734657777,1.0990955233848718,3.0,2.0,2.1180223469315553,2.1981910467697436
0,0,17,1.641592825762928e-05,1.75,0.9526408314704896,1.0580992949584092,1.0984240315476816,3.0,2.0,2.1161985899168183,2.1968480630953633
0,0,18,1.694959973974619e-05,1.85,1.044780850410461,1.0636199834968376,1.1024909043118927,3.0,2.0,2.1272399669936752,2.2049818086237853
0,0,19,1.660778616496827e-05,1.95,0.9850133657455444,1.0600408559938042,1.0998538845964194,3.0,2.0,2.1200817119876083,2.199707769192839
0,0,20,1.686938048806041e-05,2.0500000000000003,1.076337337493896,1.065506871988144,1.103881739720495,3.0,2.0,2.131013743976288,2.20776347944099
0,0,21,1.681860157987103e-05,2.15,1.052951574325562,1.0641087320303177,1.1028511224767967,3.0,2.0,2.1282174640606355,2.2057022449535935
0,0,22,1.707013689156156e-05,2.25,1.109614968299866,1.0674945524322956,1.1053473302825274,3.0,2.0,2.1349891048645913,2.210694660565055
0,0,23,1.71614192367997e-05,2.35,1.038463234901428,1.0632419921162233,1.1022123361935838,3.0,2.0,2.1264839842324466,2.2044246723871677
0,0,24,1.700029315543361e-05,2.45,0.9364358186721802,1.0571266067024365,1.0977078710477863,3.0,2.0,2.114253213404873,2.1954157420955727
0,0,25,1.718405292194802e-05,2.5500000000000003,1.145711660385132,1.0696481611299404,1.1069357984507218,3.0,2.0,2.139296322259881,2.2138715969014435
0,0,26,1.720316868158989e-05,2.6500000000000004,1.026454448699951,1.0625232730555185,1.1016827094628763,3.0,2.0,2.125046546111037,2.2033654189257526
0,0,27,1.751899435475934e-05,2.75,1.109922885894775,1.0675129342701157,1.10536088609735,3.0,2.0,2.1350258685402315,2.2107217721947
0,0,28,1.771977622411214e-05,2.85,1.13944399356842,1.069274401129293,1.1066600792395458,3.0,2.0,2.138548802258586,2.2133201584790916
0,0,29,1.746019370330032e-05,2.95,1.140824794769287,1.0693567490915397,1.1067208251211158,3.0,2.0,2.1387134981830793,2.2134416502422316
0,0,30,1.744292785588186e-05,3.0500000000000003,1.022214770317078,1.0622694626238136,1.1014956904363336,3.0,2.0,2.124538925247627,2.202991380872667
